Name: sophia baddeley | Email: sophia.baddeley@email.com
Name: margaret agnes bunn | Email: margaret.agnes.bunn@email.com
Name: louisa chatterley | Email: louisa.chatterley@email.com
Name: maria foote | Email: maria.foote@email.com
Name: henry gattie | Email: henry.gattie@email.com
Name: charlotte goodall | Email: charlotte.goodall@email.com
Name: elizabeth hartley | Email: elizabeth.hartley@email.com
Name: ann catherine holbrook | Email: ann.catherine.holbrook@email.com
Name: john philip kemble | Email: john.philip.kemble@email.com
Name: maria theresa kemble | Email: maria.theresa.kemble@email.com
Name: henrietta amelia leeson | Email: henrietta.amelia.leeson@email.com
Name: charles mathews | Email: charles.mathews@email.com
Name: harriet siddons | Email: harriet.siddons@email.com
Name: james prescott warde | Email: james.prescott.warde@email.com
Name: mary wells | Email: mary.wells@email.com
Name: charles mayne young | Email: charles.mayne.young@email.com
Name: george john bennett | Email: george.john.bennett@email.com
Name: ira aldridge | Email: ira.aldridge@email.com
Name: louisa cranstoun nisbett | Email: louisa.cranstoun.nisbett@email.com
Name: sarah fairbrother | Email: sarah.fairbrother@email.com
Name: helena faucit | Email: helena.faucit@email.com
Name: clara fisher | Email: clara.fisher@email.com
Name: isabella glyn | Email: isabella.glyn@email.com
Name: thomas hailes lacy | Email: thomas.hailes.lacy@email.com
Name: laura honey | Email: laura.honey@email.com
Name: priscilla horton | Email: priscilla.horton@email.com
Name: frances eleanor jarman | Email: frances.eleanor.jarman@email.com
Name: charles kean | Email: charles.kean@email.com
Name: ellen kean | Email: ellen.kean@email.com
Name: mary anne keeley | Email: mary.anne.keeley@email.com
Name: fanny kemble | Email: fanny.kemble@email.com
Name: harriette deborah lacy | Email: harriette.deborah.lacy@email.com
Name: maria ann lovell | Email: maria.ann.lovell@email.com
Name: mary anne stirling | Email: mary.anne.stirling@email.com
Name: charlotte vandenhoff | Email: charlotte.vandenhoff@email.com
Name: mary warner | Email: mary.warner@email.com
Name: adelaide calvert | Email: adelaide.calvert@email.com
Name: amy fawsitt | Email: amy.fawsitt@email.com
Name: henry irving | Email: henry.irving@email.com
Name: eliza newton | Email: eliza.newton@email.com
Name: john lawrence toole | Email: john.lawrence.toole@email.com
Name: charles wyndham | Email: charles.wyndham@email.com
Name: helen barr | Email: helen.barr@email.com
Name: eleanor bufton | Email: eleanor.bufton@email.com
Name: lydia foote | Email: lydia.foote@email.com
Name: susan galton | Email: susan.galton@email.com
Name: henrietta hodson | Email: henrietta.hodson@email.com
Name: adelaide neilson | Email: adelaide.neilson@email.com
Name: mary frances scott-siddons | Email: mary.frances.scottsiddons@email.com
Name: edward o'connor terry | Email: edward.oconnor.terry@email.com
Name: ellen terry | Email: ellen.terry@email.com
Name: kate terry | Email: kate.terry@email.com
Name: arthur williams | Email: arthur.williams@email.com
Name: george alexander | Email: george.alexander@email.com
Name: herbert beerbohm tree | Email: herbert.beerbohm.tree@email.com
Name: charles danby | Email: charles.danby@email.com
Name: johnston forbes-robertson | Email: johnston.forbesrobertson@email.com
Name: charles hawtrey | Email: charles.hawtrey@email.com
Name: gwynne herbert | Email: gwynne.herbert@email.com
Name: marion hood | Email: marion.hood@email.com
Name: frederick kerr | Email: frederick.kerr@email.com
Name: lillie langtry | Email: lillie.langtry@email.com
Name: marion terry | Email: marion.terry@email.com
Name: george arliss | Email: george.arliss@email.com
Name: george bellamy | Email: george.bellamy@email.com
Name: lionel belmore | Email: lionel.belmore@email.com
Name: nina boucicault | Email: nina.boucicault@email.com
Name: arthur bourchier | Email: arthur.bourchier@email.com
Name: beatrice campbell | Email: beatrice.campbell@email.com
Name: lyn harding | Email: lyn.harding@email.com
Name: adeline hayden coffin | Email: adeline.hayden.coffin@email.com
Name: c. hayden coffin | Email: c..hayden.coffin@email.com
Name: brandon hurst | Email: brandon.hurst@email.com
Name: letty lind | Email: letty.lind@email.com
Name: a. e. matthews | Email: a..e..matthews@email.com
Name: cyril maude | Email: cyril.maude@email.com
Name: winifred mayo | Email: winifred.mayo@email.com
Name: julia neilson | Email: julia.neilson@email.com
Name: olga nethersole | Email: olga.nethersole@email.com
Name: edmund payne | Email: edmund.payne@email.com
Name: courtice pounds | Email: courtice.pounds@email.com
Name: morton selten | Email: morton.selten@email.com
Name: c. aubrey smith | Email: c..aubrey.smith@email.com
Name: marie tempest | Email: marie.tempest@email.com
Name: fred terry | Email: fred.terry@email.com
Name: henry vibart | Email: henry.vibart@email.com
Name: may whitty | Email: may.whitty@email.com
Name: haidee wright | Email: haidee.wright@email.com
Name: huntley wright | Email: huntley.wright@email.com
Name: henry ainley | Email: henry.ainley@email.com
Name: marie ault | Email: marie.ault@email.com
Name: muriel beaumont | Email: muriel.beaumont@email.com
Name: lilian braithwaite | Email: lilian.braithwaite@email.com
Name: constance collier | Email: constance.collier@email.com
Name: finlay currie | Email: finlay.currie@email.com
Name: nigel de brulier | Email: nigel.de.brulier@email.com
Name: agnes fraser | Email: agnes.fraser@email.com
Name: edward gordon craig | Email: edward.gordon.craig@email.com
